,Season,Transfer Type,Player,Club,Transfer Sum
343,11/12,Départs,Gaël Clichy,Manchester City,"7,75 mio. €"
344,11/12,Départs,Emmanuel Eboué,Galatasaray,"3,50 mio. €"
345,11/12,Départs,Armand Traoré,QPR,"1,35 mio. €"
346,11/12,Départs,Jay Emmanuel-Thomas,Ipswich Town,"1,25 mio. €"
347,11/12,Départs,Andrey Arshavin,Zenit S-Pb,"Montant du prêt:1,20 mio. €"
348,11/12,Départs,Nicklas Bendtner,AFC Sunderland,"Montant du prêt:1,00 mio. €"
349,11/12,Départs,Denílson,FC São Paulo,Montant du prêt:400 K €
350,11/12,Départs,Pedro Botelho,Rayo Vallecano,Montant du prêt:340 K €
351,11/12,Départs,Manuel Almunia,West Ham Utd.,Prêt
352,11/12,Départs,Emmanuel Frimpong,Wolverhampton,Prêt
353,11/12,Départs,Joel Campbell,FC Lorient,Prêt
354,11/12,Départs,Henri Lansbury,West Ham Utd.,Prêt
355,11/12,Départs,Mark Randall,FC Chesterfield,Transfert libre
356,11/12,Départs,Nico Yennaris,Notts County,Prêt
357,11/12,Départs,Craig Eastmond,Wycombe Wand.,Prêt
358,11/12,Départs,Ryo Miyaichi,Bolton,Prêt
359,11/12,Départs,Gavin Hoyte,AFC Wimbledon,Prêt
360,11/12,Départs,Pedro Botelho,UD Levante,Prêt
361,11/12,Départs,Vito Mannone,Hull City,Prêt
362,11/12,Départs,Carlos Vela,Real Sociedad,Prêt
363,11/12,Départs,Wellington Silva,CD Alcoyano,Prêt
364,11/12,Départs,Jens Lehmann,Fin de carrière,-
365,11/12,Départs,Yossi Benayoun,Chelsea,Fin du prêt
366,11/12,Départs,Thierry Henry,New York RB,Fin du prêt
367,11/12,Arrivées,Laurent Koscielny,FC Lorient,"12,50 mio. €"
368,11/12,Arrivées,Sébastien Squillaci,FC Sevilla,"6,50 mio. €"
369,11/12,Arrivées,Wellington Silva,Fluminense,"4,00 mio. €"
370,11/12,Arrivées,Marouane Chamakh,G. Bordeaux,Transfert libre
371,11/12,Arrivées,Ryo Miyaichi,Chukyo High Scho,?
372,11/12,Arrivées,Aaron Ramsey,Cardiff,Fin du prêt
373,11/12,Arrivées,Jens Lehmann,Pause carrière,-
374,11/12,Arrivées,Vito Mannone,Hull City,Fin du prêt
375,11/12,Arrivées,Mark Randall,Rotherham,Fin du prêt
376,11/12,Arrivées,Henri Lansbury,Norwich,Fin du prêt
377,11/12,Arrivées,Jay Emmanuel-Thomas,Cardiff,Fin du prêt
378,11/12,Arrivées,Craig Eastmond,Millwall,Fin du prêt
379,11/12,Arrivées,Nacer Barazite,Vitesse,Fin du prêt
380,11/12,Arrivées,Aaron Ramsey,Nottm Forest,Fin du prêt
381,10/11,Départs,Eduardo,Shakhtar D.,"7,20 mio. €"
382,10/11,Départs,Armand Traoré,Juventus Turin,Montant du prêt:500 K €
383,10/11,Départs,Nacer Barazite,Austria Vienne,400 K €
384,10/11,Départs,Aaron Ramsey,Nottm Forest,Prêt
385,10/11,Départs,Henri Lansbury,Norwich,Prêt
386,10/11,Départs,Gavin Hoyte,Lincoln City,Prêt
387,10/11,Départs,Mark Randall,Rotherham,Prêt
